Country;Charter type code;Organisation Name;Erasmus code;Street;Postcode;City
ES;EUCP;IES ANDRES DE VANDELVIRA;E  ALBACET09;AVDA.CRONISTA MATEOS Y SOTOS, 3;02006;ALBACETE
ES;EUCP;IES UNIVERSIDAD LABORAL - ALBACETE;E  ALBACET10;AVENIDA DE  LA MANCHA S/N;02006;ALBACETE
ES;EUCP;I.E.S. FEDERICO GARCÍA LORCA;E  ALBACET11;CALLE: PINTOR QUIJADA 1;02006;ALBACETE
ES;EUC;ESCUELA DE ARTE DE ALBACETE;E  ALBACET14;CALLE CRONISTA MATEO Y SOTOS 2, 4ºE;02006;ALBACETE
ES;EUCP;IES ALBAL;E  VALENCI60;STREET HERNANDEZ LAZARO (NO NUMBER);46470;ALBAL
ES;EUCP;IES ANTONIO SERNA SERNA;E  ALICANT35;C/ ALCALDE ANTONIO MARTÍNEZ, 15;03340;ALBATERA (ALICANTE)
ES;EUCX;IES CONSUELO ARANDA;E  VALENCI48;IES CONSUELO ARANDA - CAMINO MISSANA S/N;46260;ALBERIC
FR;EUCP;LYCÉE JEAN MOULIN  ALBERTVILLE;F  CHAMBER10;LYCÉE JEAN MOULIN 12 RUE FÉLIX CHAUTEMPS;73200;ALBERTVILLE
FR;EUCX;EPL DU TARN;F  ALBI06;ROUTE DE TOULOUSE;81000;ALBI
FR;EUCP;IFSI DU CH D'ALBI;F  ALBI08;RUE DES TROIS TARN;81000;ALBI
FR;EUCX;ECOLE NATIONALE SUPERIEURE DES MINES ALBI-CARMAUX;F  ALBI05;Campus Jarlard - Route de Teillet;81013;ALBI CEDEX 09
FR;EUCX;CENTRE UNIVERSITAIRE DE FORMATION ET DE RECHERCHE JEAN-FRANCOIS CHAMPOLLION;F  CASTRES03;Place de Verdun;81000;ALBI CEDEX 9
FR;EUCP;IFSI BON SAUVEUR ALBY;F  ALBI07;1 RUE DE LAVAZIÈRE;81025;ALBI CEDEX 9
ES;EUCP;I.E.S. MARTÍN GARCÍA RAMOS (ALBOX);E  ALMERIA14;CALLE CAÑO SAN FELIPE Nº 1;04800;ALBOX (ALMERÍA)
ES;EUCP;IES CRISTÓBAL DE MONROY;E  SEVILLA15;AVDA. DE LA CONSTITUCIÓN S/N;41500;ALCALÁ DE GUADAIRA 
ES;EUCX;UNIVERSIDAD DE ALCALA;E  ALCAL-H01;Plaza de San Diego;28801;ALCALA DE HENARES
ES;EUCX;IES ALONSO DE AVELLANEDA;E  MADRID98;VITORIA 3;28804;ALCALA DE HENARES
ES;EUCP;IES ANTONIO MACHADO;E  MADRID99;C/ ALALPARDO S/N;28806;ALCALÁ DE HENARES
ES;EUCP;"INSTITUTO DE EDUCACION SECUNDARIA ""MATEO ALEMÁN""";E  MADRID118;AVENIDA DEL EJÉRCITO 89;28807;ALCALÁ DE HENARES
ES;EUCX;INSTITUTO DE ENSEÑANZA SECUNDARIA COMPLUTENSE;E  MADRID140;C/ VALLADOLID, 1;28804;ALCALÁ DE HENARES
ES;EUCP;IES ESCUELA DE HOSTELERIA DE ALCALA DE HENARES ;E  MADRID164;CAMINO DE LA ESGARAVITA S/N ;28805;ALCALA DE HENARES 
ES;EUCP;SAGRADA FAMILIA ALCALA LA REAL;E  JAEN05;AVDA. DE EUROPA, 1;23680;ALCALÁ LA REAL. JAÉN
ES;EUCP;"INSTITUTO DE ENSEÑANZA SECUNDARIA ""SANJE""";E  MURCIA33;CARRETERA DE MULA, KM 1.5;30820;ALCANTARILLA (MURCIA)
ES;EUCP;I.E.S. BAJO ARAGÓN;E  TERUEL01;C/ JOSÉ PARDO SASTRÓN Nº 1;44600;ALCAÑIZ (TERUEL)
ES;EUCP;INSTITUTO DE EDUCACIÓN SECUNDARIA SALVADOR SERRANO;E  JAEN08;PARQUE DE LA FUENSANTA, Nº 2;23660;ALCAUDETE - JAÉN
ES;EUCP;IES JUAN BOSCO;E  CIUDA-R13;AVDA. INSTITUTOS S/N ;13600;ALCÁZAR DE SAN JUAN (CIUDAD REAL)
ES;EUCX;"CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL EN NUEVAS TECNOLOGÍAS DE LA COMUNIDAD DE MADRID ""JOSE LUIS GARCI""";E  MADRID76;JOSÉ HIERRO, 10;28100;ALCOBENDAS
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA FRANCISCO GINER DE LOS RÍOS;E  MADRID117;CTRA. BARAJAS-ALCOBENDAS 1,800;28100;ALCOBENDAS
ES;EUCP;IES  VIRGEN DE LA PAZ;E  MADRID128;FRANCISCO CHICO MENDES, 4;28108;ALCOBENDAS
ES;EUCP;IES ÁGORA;E  MADRID136;MANUEL FALLA 54-56;28100;ALCOBENDAS
ES;EUCX;CIPFP BATOI;E  ALICANT39;Serreta, 5;03802;ALCOI
ES;EUCX;INSTITUT ENSENYAMENT SECUNDARI COTES BAIXES;E  ALICANT21;POLIGON INDUSTRIAL COTES BAIXES C/C-2;03804;ALCOI
ES;EUCP;IES PARE VITORIA;E  ALICANT06;C/OLIVER, 3 1º IZDA.;03802;ALCOI (ALACANT)
ES;EUCX;ESCUELA SUPERIOR DE CERÁMICA DE L'ALCORA;E  CASTELL04;C/ CORTS VALENCIANES, 23;12110;ALCORA (CASTELLÓN)
ES;EUCX;I.E.S. LA ARBOLEDA;E  MADRID29;C/ Sapporo, 3   5 D;28923;Alcorcon
ES;EUCP;IES JOSEFINA ALDECOA;E  MADRID100;C/ SAHAGÚN, S/N;28925;ALCORCON
ES;EUCP;IES LOS CASTILLOS ( ALCORCÓN);E  MADRID101;5 LOS CASTILLOS AVENUE;28925;ALCORCÓN ( MADRID)
ES;EUCX;IES  PRADO DE SANTO DOMINGO;E  MADRID30;AVDA.PABLO IGLESIAS Nº3;28922;ALCORCON (MADRID)
ES;EUC;SCHOOL OF ARTS AND COLLEGE OF DESIGN IN ALCOY;E  ALICANT05;Na Lioba s/n;030802;ALCOY
ES;EUCX;IES ALCUDIA;E  PALMA10;ANTONI MARIA ALCOVER, S/N;07410;ALCUDIA
ES;EUCP;"INSTITUTO DE ENSEÑANZA SECUNDARIA ""SALVADOR GADEA""";E  VALENCI35;STREET ENCREULLADES NR/;46960;ALDAIA (VALENCIA)
FR;EUCX;INSTITUT REGIONAL DE FORMATION SANITAIRE ET SOCIALE DE LA CROIX-ROUGE FRANCAISE BASSE-NORMANDIE;F  ALENCON07;5 RUE DU GUE DE GESNES;61000;ALENCON
FR;EUCX;INSTITUT SUPERIEUR DE PLASTURGIE D'ALENCON;F  ALENCON01;POLE UNIVERSITAIRE DE MONTFOULON - BP 823;61041;ALENCON CEDEX
FR;EUCX;ECOLE NATIONALE SUPERIEURE DES TECHNIQUES INDUSTRIELLES ET DES MINES D'ALES (ECOLE DES MINES D'ALES);F  ALES02;AVENUE DE CLAVIERES, 6;30319;ALES
FR;EUCP;LYCÉE JACQUES PRÉVERT;F  ALES05;1 PLACE DE BELGIQUE;30100;ALES
FR;EUCP;LYCEE TECHNIQUE PRIVE JB DE LA SALLE;F  ALES03;17 PLACE HENRI BARBUSSE- BP 50319;30106;ALES CEDEX
IT;EUCX;"CONSERVATORIO DI MUSICA ""A. VIVALDI""";I  ALESSAN01;VIA PARMA 1;15121;ALESSANDRIA
ES;EUCX;UNIVERSIDAD CEU CARDENAL HERRERA;E  VALENCI08;Luis Vives nº1;46115;Alfara del Patriarca (Valencia)
ES;EUCP;ESCOLA CAPACITACIO AGRÀRIA (ALFARRAS);E  LLEIDA08;PARTIDA EL SOT S/N;25120;ALFARRÀS
FR;EUCP;LYCÉE MAXIMILIEN PERRET;F  CRETEIL06;BP 56;94142;ALFORTVILLE CEDEX
DE;EUCX;ALANUS HOCHSCHULE FÜR KUNST UND GESELLSCHAFT ALFTER, DEUTSCHLAND;D  ALFTER01;Johannishof;53347;Alfter
ES;EUCP;IES TORRE ALMIRANTE;E  CADIZ26;POLÍGONO EL ROSARIO S/N;11205;ALGECIRAS
ES;EUCX;I.E.S LEVANTE;E  ALGECIR06;AVDA VIRGEN DE LA PALMA, URB ALTOS DE LA BAHÍA Nº 40;11203;ALGECIRAS, CÁDIZ
ES;EUCX;IES BERNAT GUINOVART;E  VALENCI49;C/JOAN FUSTER S/N;46680;ALGEMESI
ES;EUCP;INSTITUTO DE EDUCACIÓN SECUNDARIA MIGUEL HERNÁNDEZ;E  MURCIA31;MIGUEL HERNÁNDEZ, 28;30840;ALHAMA DE MURCIA
ES;EUCX;IES MIGUEL HERNANDEZ;E  ALICANT02;C/POETA GARCILASO, 8;03005;ALICANTE
ES;EUC;CONSERVATORIO SUPERIOR DE MUSICA DE ALICANTE OSCAR ESPLÀ;E  ALICANT11;CATEDRÁTICO JAUME MAS I PORCEL NR.2;03005;ALICANTE
ES;EUCX;ESCUELA DE ARTE Y SUPERIOR DE DISEÑO DE ALICANTE (EASD.A);E  ALICANT12;C/ CLOT Nº 12;03011;ALICANTE
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA LEONARDO DA VINCI;E  ALICANT13;Av. Baronia de Polop 12;03011;ALICANTE
ES;EUCP;I.E.S. FRANCISCO FIGUERAS PACHECO;E  ALICANT14;STREET FERNANDO MADROÑAL 35;03007;ALICANTE
ES;EUCP;IES ANTONIO JOSE CAVANILLES;E  ALICANT15;AVENUE ALCALDE LORENZO CARBONELL 32-34;03007;ALICANTE
ES;EUCP;"IES ""LA ENCANTÁ""";E  ALICANT30;C/RUBÉN DARÍO, S/N;03170 -ROJALES;ALICANTE
ES;EUC;-CONSERVATORIO SUPERIOR DE DANZA DE ALICANTE (CSD ALICANTE)-;E  ALICANT36;AVENIDA JAIME MAS PORCEL S/N;03005;ALICANTE
ES;EUCX;UNIVERSIDAD DE ALICANTE ;E  ALICANT01;Apartado de correos 99;03080;ALICANTE 
ES;EUC;CENTRO AUTORIZADO DE ARTES PLÁSTICAS E DESEÑO FELICIDAD DUCE;E  ORENSE01;PACIÑOS, 2;32667;ALLARIZ - OURENSE
PT;EUC;ESCOLA NAVAL;P  ALMADA05;ESCOLA NAVAL, ALFEITE;2810-001 ALMADA;ALMADA
ES;EUCP;"IES ""ANTONIO CALVÍN""";E  CIUDA-R09;3, EJIDO DE CALATRAVA, ST;13270;ALMAGRO
ES;EUCP;IES ESCULTOR JOSÉ LUIS SÁNCHEZ;E  ALBACET02;AVDA. JOSÉ HERNÁNDEZ DE LA ASUNCIÓN, 2;02640;ALMANSA
ES;EUCP;IES HERMINIO ALMENDROS;E  ALBACET06;BLASCO IBAÑEZ STREET, 26;02460;ALMANSA
ES;EUCP;IES VILAROJA;E  CASTELL18;AVDA. CASTELLO, 44, ATICO A;12550;ALMASSORA
ES;EUCP;INSTITUTO DE EDUCACIÓN SECUNDARIA SANTIAGO APÓSTOL;E  BADAJOZ15;STREET/ORTEGA Y MUÑOZ,30;06200;ALMENDRALEJO
ES;EUCP;IES ARROYO HARNINA;E  BADAJOZ26;C/CORIA, Nº 11-;06200;ALMENDRALEJO
ES;EUCX;IES AL-ANDALUS;E  ALMERIA03;FINCA SANTA ISABEL, S/N;04008;ALMERIA
